ردیف,دسته بندی,محصول,وزن,عیار,فی تهیه اجرت درصدی,اجرت درصدی فروش,فی تهیه اجرت مبلغی,اجرت مبلغی فروش,فی تهیه سنگ,فی فروش سنگ,رنگ,نوع کالا,سایز,کد قدیمی,تصویر
500,کار ساخته بازار,GD01014423 - تراش,3.13,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260705-223.jpg
501,کار ساخته بازار,GD01014422 - تراش,6.02,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260705-269.jpg
502,کار ساخته بازار,GD01014421 - تراش,5.03,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260705-606.jpg
503,کار ساخته بازار,GD01014420,5.79,750.0,7.5,9.0,0.0,0.0,0.0,0.0,سفید,دستبند,,,Img20260705-583.jpg
504,کار ساخته بازار,GD01014419 - تراش,4.89,750.0,3.0,7.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260705-858.jpg
505,کار ساخته بازار,GD01014417 - کارتیه,0.71,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-191.jpg
506,کار ساخته بازار,GD01014416,0.36,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-537.jpg
507,کار ساخته بازار,GD01014414 - ثنا,10.88,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,1.0,,Img20260705-86.jpg
508,کار ساخته بازار,GD01014413,1.86,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260705-345.jpg
509,کار ساخته بازار,GD01014411,2.1,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260701-607.jpg
510,کار ساخته بازار,GD01014410 - ثنا,11.46,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,4.0,,Img20260707-176.jpg
511,کار ساخته بازار,GD01014409,1.78,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260705-961.jpg
512,کار ساخته بازار,GD01014408,2.42,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260701-319.jpg
513,کار ساخته بازار,GD01014407 - ثنا,11.99,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,4.0,,Img20260701-737.jpg
514,کار ساخته بازار,GD01014405,7.5,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260701-21.jpg
515,کار ساخته بازار,GD01014404,4.15,750.0,4.0,7.0,0.0,0.0,0.0,0.0,زرد,گردنبند,,,Img20260704-511.jpg
516,کار ساخته بازار,GD01014400,6.27,750.0,5.5,7.0,0.0,0.0,0.0,0.0,زرد,تک پوش,2.0,,Img20260701-630.jpg
517,کار ساخته بازار,GD01014399 - ایساتیس,1.99,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-938.jpg
518,کار ساخته بازار,GD01014398 - ایساتیس,1.41,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-1034.jpg
519,کار ساخته بازار,GD01014397 - ایساتیس,1.36,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-817.jpg
520,کار ساخته بازار,GD01014396 - ایساتیس,1.38,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-387.jpg
521,کار ساخته بازار,GD01014395 - ایساتیس,1.57,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-490.jpg
522,کار ساخته بازار,GD01014394 - ایساتیس,1.55,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-25.jpg
523,کار ساخته بازار,GD01014393 - ایساتیس,2.05,750.0,3.5,7.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260701-756.jpg
